Store Name,Address,Street,City,State,Zip,Country,Duration,Distance,DateTime,Points Earned,Fare,Promotion,Boost,Tip,Your Earnings,Customer 1 Price,Customer 1 Tip,Customer 1 Service Fee,Customer 2 Price,Customer 2 Tip,Customer 2 Service Fee,Customer 3 Price,Customer 3 Tip,Customer 3 Service Fee,Customer 4 Price,Customer 4 Tip,Customer 4 Service Fee,Customer 5 Price,Customer 5 Tip,Customer 5 Service Fee,Customer 6 Price,Customer 6 Tip,Customer 6 Service Fee,Customer 7 Price,Customer 7 Tip,Customer 7 Service Fee,Customer 8 Price,Customer 8 Tip,Customer 8 Service Fee,Customer 9 Price,Customer 9 Tip,Customer 9 Service Fee,Customer 10 Price,Customer 10 Tip,Customer 10 Service Fee,Customer Payments Total,Service Fee Total
Filippi's Pizza Restaurant and Bar,"A St, San Diego, CA 92101-4535, US",A St,San Diego,CA,92101,US,00:31:27,14.2,08/06/2023 19:57:00,12,9.06,0,0,5,14.06,9.56,2,6.16,13.81,3,8.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.370000000000005,14.31
Walmart SAN DIEGO #5338,"Pearl St, La Jolla, CA 92037, US",Pearl St,La Jolla,CA,92037,US,00:32:50,9.9,08/05/2023 17:37:00,6,12.84,0,0,8.7,21.54,21.27,8.7,8.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.97,8.43
San Diego Poke Co,"Reflection Dr, San Diego, CA 92124, US",Reflection Dr,San Diego,CA,92124,US,00:15:41,2,07/06/2023 11:53:00,3,3.07,0,0,10.32,13.39,12.22,10.32,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54,9.15
CAVA (1652 Camino Del Rio N),"Ambrosia Dr, San Diego, CA 92124, US",Ambrosia Dr,San Diego,CA,92124,US,00:17:09,5,07/06/2023 11:29:00,3,5.91,0,0,4.15,10.06,11.1,4.15,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25,5.19
Sonic (5247 Kearny Villa Rd),"Hollycrest Ct, San Diego, CA 92121-4137, US",Hollycrest Ct,San Diego,CA,92121,US,00:41:56,12.1,07/03/2023 20:50:00,12,11.17,0,0,9.92,21.09,19.93,3.96,11.63,10.33,5.96,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.18,19.09
Adam's Wine & Spirits,"Butternut Ln, San Diego, CA 92123, USA",Butternut Ln,San Diego,CA,92123,USA,00:21:11,7.3,07/03/2023 20:27:00,6,7.84,1.28,1.28,5.5,14.62,12.99,5.5,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.490000000000002,3.87
"bb.q Chicken Convoy, CA","Florida St, San Diego, CA 92116-2710, US",Florida St,San Diego,CA,92116,US,00:16:51,6.1,07/03/2023 20:07:00,6,5.05,0,0,6,11.05,8.39,6,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,3.34
The Taco Stand (Convoy St),"Balboa Terrace, San Diego, CA 92117, USA",Balboa Terrace,San Diego,CA,92117,USA,00:26:05,4.2,07/03/2023 19:32:00,6,4.85,0,0,5.25,10.1,10.74,5.25,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.99,5.89
Chopstix,"Olive St, San Diego, CA 92103, US",Olive St,San Diego,CA,92103,US,00:41:16,8.4,07/03/2023 18:35:00,12,10.04,0,0,17.48,27.52,12.44,10.48,6.13,13.54,7,9.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.46,15.940000000000001
Little Caesars (4310 Genesee),"Wilts Pl, San Diego, CA 92117-4036, US",Wilts Pl,San Diego,CA,92117,US,00:12:13,1.8,07/03/2023 18:04:00,6,3.67,0.44,0.44,0,4.11,11.77,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,7.66
Subway (3089 Clairemont Dr Ste D),"Mount la Platta Dr, San Diego, CA 92117-3038, US",Mount la Platta Dr,San Diego,CA,92117,US,00:20:22,4,07/03/2023 17:47:00,6,5.12,0.68,0.68,4.21,10.01,9.46,4.21,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.670000000000002,3.66
Subway (3089 Clairemont Dr Ste D),"Mount la Platta Dr, San Diego, CA 92117-3038, US",Mount la Platta Dr,San Diego,CA,92117,US,00:20:22,4,07/03/2023 17:47:00,6,5.12,0.68,0.68,4.21,10.01,9.46,4.21,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.670000000000002,3.66
Convoy Tofu House,"6th Ave, San Diego, CA 92101-7026, US",6th Ave,San Diego,CA,92101,US,00:34:01,9.2,08/05/2023 16:44:00,6,12.07,0,0,1,13.07,24.43,1,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.43,12.36
Elijah's,"Burgener Blvd, San Diego, CA 92110-1103, US",Burgener Blvd,San Diego,CA,92110,US,00:32:59,7.6,07/03/2023 17:03:00,6,8.06,0.95,0.95,12.62,21.63,22.26,12.62,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.88,13.25
Coco Ichibanya Curry House (San Diego),"Pacific Hwy, San Diego, CA 92101-1128, US",Pacific Hwy,San Diego,CA,92101,US,00:33:21,12.6,07/03/2023 11:23:00,3,8.52,0,0,6.56,15.08,22.15,6.56,13.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.709999999999997,13.63
Din Tai Fung (San Diego),"Ocean Front, Del Mar, CA 92014-2125, US",Ocean Front,Del Mar,CA,92014,US,00:36:02,9.6,07/16/2023 19:02:00,6,7.13,0,0,20,27.13,24.63,20,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.629999999999995,17.5
